phone_number,churned
363-8175,FALSE
414-8688,FALSE
354-8492,TRUE
373-4947,FALSE
406-9868,FALSE
366-5737,FALSE
421-2900,FALSE
345-4653,FALSE
387-4808,FALSE
331-1846,FALSE
403-3502,FALSE
416-1447,FALSE
334-6371,FALSE
357-3352,FALSE
371-8517,FALSE
373-5115,FALSE
351-4569,FALSE
343-6686,FALSE
349-9172,TRUE
329-4168,FALSE
356-9042,FALSE
390-2562,TRUE
404-4312,FALSE
401-9705,TRUE
366-5096,FALSE
347-3360,FALSE
410-7256,FALSE
397-1984,TRUE
403-1542,FALSE
329-5112,FALSE
399-6945,TRUE
331-8469,FALSE
387-4222,FALSE
362-1297,FALSE
391-3380,FALSE
338-2768,FALSE
388-5162,FALSE
401-3615,FALSE
384-2846,FALSE
360-1292,FALSE
408-4628,FALSE
345-8273,TRUE
382-5278,FALSE
377-9241,FALSE
351-8843,FALSE
404-2461,FALSE
349-8440,FALSE
397-5665,FALSE
406-4435,TRUE
402-4433,FALSE
342-2394,FALSE
351-3724,FALSE
384-1980,FALSE
400-3569,TRUE
364-4057,FALSE
414-5978,FALSE
410-4662,FALSE
366-2822,FALSE
382-3713,FALSE
396-8095,FALSE
401-9574,FALSE
352-3780,FALSE
391-4345,TRUE
341-2398,FALSE
394-6726,FALSE
338-7859,FALSE
375-7103,FALSE
397-2769,TRUE
410-4829,FALSE
371-3276,FALSE
335-2978,FALSE
401-3419,FALSE
420-4405,FALSE
351-9552,FALSE
418-9746,FALSE
369-1046,FALSE
369-7226,FALSE
391-7154,FALSE
357-6526,FALSE
350-5622,TRUE
343-3870,FALSE
343-8580,FALSE
331-5614,FALSE
372-4493,FALSE
342-9503,FALSE
343-3973,FALSE
374-3585,FALSE
378-7878,TRUE
420-9325,FALSE
338-7583,FALSE
399-1915,FALSE
329-8057,FALSE
358-5492,FALSE
385-4731,TRUE
364-8868,FALSE
384-6032,FALSE
389-5315,FALSE
348-8302,FALSE
371-8654,FALSE
329-7365,FALSE
362-9109,FALSE
352-5412,FALSE
365-8548,FALSE
349-3579,FALSE
367-9956,FALSE
372-3559,FALSE
336-7199,FALSE
389-9083,FALSE
329-6776,FALSE
420-7897,FALSE
329-2452,FALSE
377-1433,FALSE
342-8693,TRUE
